ダウンロードした時刻：2022/02/23 22:14:11

,中川,中川,中川,中川,中川,中川,中川,中川,中川,中川,中川,中川,中川,中川,中川,中川,中川,中川,旭川,旭川,旭川,旭川,旭川,旭川,旭川,旭川,旭川,旭川,旭川,旭川,旭川,旭川,旭川,旭川,旭川,旭川,旭川,旭川
1996/4/2,-0.7,8,1,4,8,1,0.9,8,1,,0,1,,0,1,,0,1,0.0,8,1,1.5,0,8,1,3.1,0,8,1,77,8,1,14.8,8,1,982.7,8,1
1996/4/3,1.0,8,1,4,8,1,1.9,8,1,,0,1,,0,1,,0,1,0.4,8,1,0.5,0,8,1,0.4,0,8,1,82,8,1,9.3,8,1,984.9,8,1
1996/4/4,2.8,8,1,1,8,1,3.6,8,1,,0,1,,0,1,,0,1,2.3,8,1,4.0,0,8,1,3.6,0,8,1,76,8,1,15.5,8,1,990.9,8,1
1996/4/5,2.4,8,1,2,8,1,5.5,8,1,,0,1,,0,1,,0,1,2.8,8,1,1.0,0,8,1,5.0,0,8,1,66,8,1,16.2,8,1,990.9,8,1
1996/4/6,1.8,8,1,1,8,1,5.0,8,1,,0,1,,0,1,,0,1,1.8,8,1,2.0,0,8,1,3.9,0,8,1,70,8,1,13.8,8,1,993.4,8,1
1996/4/7,0.6,8,1,0,8,1,3.3,8,1,,0,1,,0,1,,0,1,4.1,8,1,0.0,0,8,1,7.4,0,8,1,60,8,1,21.2,8,1,994.3,8,1
1997/3/15,-5.3,8,1,0,8,1,10.6,8,1,,0,1,,0,1,,0,1,-4.0,8,1,0,1,8,1,10.0,0,8,1,64,8,1,19.3,8,1,1012.7,8,1
1997/3/16,-8.3,8,1,0,8,1,9.4,8,1,,0,1,,0,1,,0,1,-7.0,8,1,0,1,8,1,9.2,0,8,1,62,8,1,19.7,8,1,1010.7,8,1
1997/3/17,-5.0,8,1,1,8,1,2.9,8,1,,0,1,,0,1,,0,1,-4.8,8,1,3.5,0,8,1,3.2,0,8,1,77,8,1,13.3,8,1,1008.2,8,1
1997/3/18,-0.4,8,1,2,8,1,3.1,8,1,,0,1,,0,1,,0,1,-0.5,8,1,1.5,0,8,1,3.0,0,8,1,76,8,1,13.4,8,1,1005.8,8,1
1997/3/19,-2.1,8,1,0,8,1,5.5,8,1,,0,1,,0,1,,0,1,-0.9,8,1,0.0,0,8,1,9.0,0,8,1,74,8,1,20.0,8,1,1001.3,8,1
1997/3/20,-1.5,8,1,0,8,1,7.4,8,1,,0,1,,0,1,,0,1,0.7,8,1,0,1,8,1,8.6,0,8,1,63,8,1,18.2,8,1,1000.7,8,1
1997/3/21,2.2,8,1,6,8,1,0.0,8,1,,0,1,,0,1,,0,1,2.8,8,1,1.0,0,8,1,7.6,0,8,1,63,8,1,16.0,8,1,997.5,8,1
1997/3/22,-3.0,8,1,1,8,1,5.4,8,1,,0,1,,0,1,,0,1,0.3,8,1,0.5,0,8,1,9.5,0,8,1,64,8,1,20.1,8,1,997.8,8,1
1997/3/23,-5.9,8,1,7,8,1,4.1,8,1,,0,1,,0,1,,0,1,-3.6,8,1,3.5,0,8,1,6.5,0,8,1,72,8,1,14.1,8,1,996.6,8,1
1997/3/24,-5.5,8,1,3,8,1,6.5,8,1,,0,1,,0,1,,0,1,-3.4,8,1,4.0,0,8,1,5.3,0,8,1,72,8,1,15.7,8,1,996.8,8,1
1997/3/25,-1.8,8,1,5,8,1,0.2,8,1,,0,1,,0,1,,0,1,-0.2,8,1,3.5,0,8,1,1.5,0,8,1,79,8,1,9.3,8,1,993.7,8,1
1997/3/26,-1.9,8,1,1,8,1,4.0,8,1,,0,1,,0,1,,0,1,-0.2,8,1,0.5,0,8,1,4.9,0,8,1,64,8,1,16.4,8,1,1008.0,8,1
1997/3/27,1.9,8,1,0,8,1,11.3,8,1,,0,1,,0,1,,0,1,0.9,8,1,0,1,8,1,11.7,0,8,1,61,8,1,21.8,8,1,1003.9,8,1
1997/3/28,2.3,8,1,0,8,1,6.5,8,1,,0,1,,0,1,,0,1,2.5,8,1,0,1,8,1,11.3,0,8,1,59,8,1,20.9,8,1,1001.0,8,1
1997/3/29,7.8,8,1,0,8,1,10.0,8,1,,0,1,,0,1,,0,1,9.2,8,1,0,1,8,1,9.5,0,8,1,47,8,1,17.9,8,1,998.1,8,1
1997/3/30,2.5,8,1,10,8,1,0.8,8,1,,0,1,,0,1,,0,1,3.5,8,1,4.0,0,8,1,2.0,0,8,1,74,8,1,9.3,8,1,984.8,8,1
1997/3/31,-2.7,8,1,3,8,1,0.1,8,1,,0,1,,0,1,,0,1,-2.6,8,1,6.0,0,8,1,1.4,0,8,1,79,8,1,12.4,8,1,992.8,8,1
1997/4/1,-0.5,8,1,1,8,1,1.6,8,1,,0,1,,0,1,,0,1,-0.4,8,1,1.5,0,8,1,1.3,0,8,1,64,8,1,12.9,8,1,1000.8,8,1
1997/4/2,-1.5,8,1,0,8,1,11.2,8,1,,0,1,,0,1,,0,1,0.9,8,1,0,1,8,1,11.3,0,8,1,50,8,1,21.8,8,1,1005.4,8,1
1997/4/3,-0.5,8,1,0,8,1,12.0,8,1,,0,1,,0,1,,0,1,1.4,8,1,0,1,8,1,11.9,0,8,1,58,8,1,23.0,8,1,1005.0,8,1
1997/4/4,-0.4,8,1,0,8,1,11.4,8,1,,0,1,,0,1,,0,1,3.3,8,1,0,1,8,1,8.0,0,8,1,64,8,1,19.7,8,1,1003.9,8,1
1997/4/5,2.2,8,1,0,8,1,9.8,8,1,,0,1,,0,1,,0,1,4.6,8,1,0,1,8,1,5.1,0,8,1,69,8,1,17.6,8,1,1002.2,8,1
1997/4/6,3.9,8,1,0,8,1,11.4,8,1,,0,1,,0,1,,0,1,5.9,8,1,0,1,8,1,7.4,0,8,1,70,8,1,19.4,8,1,1002.2,8,1
1997/4/7,4.2,8,1,0,8,1,0.0,8,1,,0,1,,0,1,,0,1,5.9,8,1,0.5,0,8,1,0,1,8,1,73,8,1,8.7,8,1,995.4,8,1
1998/3/15,-3.9,8,1,0,8,1,4.9,8,1,,0,1,,0,1,,0,1,-3.5,8,1,3.0,0,8,1,9.0,0,8,1,65,8,1,18.3,8,1,988.9,8,1
1998/3/16,-5.9,8,1,0,8,1,0.0,8,1,,0,1,,0,1,,0,1,-5.0,8,1,0.5,0,8,1,0,1,8,1,64,8,1,10.2,8,1,997.1,8,1
1998/3/17,-3.0,8,1,3,8,1,1.3,8,1,,0,1,,0,1,,0,1,-2.7,8,1,2.0,0,8,1,5.0,0,8,1,80,8,1,15.4,8,1,1002.7,8,1
1998/3/18,-0.6,8,1,0,8,1,4.6,8,1,,0,1,,0,1,,0,1,-0.5,8,1,0.0,0,8,1,6.5,0,8,1,70,8,1,17.1,8,1,1010.3,8,1
1998/3/19,2.4,8,1,19,8,1,0.0,8,1,,0,1,,0,1,,0,1,3.4,8,1,0.0,0,8,1,0,1,8,1,68,8,1,6.1,8,1,998.7,8,1
1998/3/20,3.1,8,1,12,8,1,0.0,8,1,,0,1,,0,1,,0,1,3.4,8,1,8.5,0,8,1,0,1,8,1,77,8,1,4.4,8,1,979.6,8,1
1998/3/21,-2.0,8,1,1,8,1,0.0,8,1,,0,1,,0,1,,0,1,-1.9,8,1,2.5,0,8,1,2.4,0,8,1,73,8,1,12.6,8,1,992.8,8,1
1998/3/22,-3.1,8,1,2,8,1,1.1,8,1,,0,1,,0,1,,0,1,-2.5,8,1,4.0,0,8,1,3.1,0,8,1,77,8,1,13.7,8,1,1000.6,8,1
1998/3/23,-1.7,8,1,2,8,1,1.1,8,1,,0,1,,0,1,,0,1,-2.6,8,1,4.5,0,8,1,1.5,0,8,1,75,8,1,12.2,8,1,1000.5,8,1
1998/3/24,2.2,8,1,0,8,1,6.3,8,1,,0,1,,0,1,,0,1,2.8,8,1,0.5,0,8,1,8.4,0,8,1,53,8,1,18.7,8,1,997.8,8,1
1998/3/25,2.1,8,1,0,8,1,8.7,8,1,,0,1,,0,1,,0,1,3.1,8,1,0,1,8,1,9.1,0,8,1,55,8,1,19.3,8,1,999.2,8,1
1998/3/26,0.4,8,1,0,8,1,10.6,8,1,,0,1,,0,1,,0,1,2.2,8,1,0,1,8,1,11.2,0,8,1,55,8,1,20.3,8,1,1006.6,8,1
1998/3/27,5.0,8,1,0,8,1,0.6,8,1,,0,1,,0,1,,0,1,3.1,8,1,3.0,0,8,1,0.5,0,8,1,76,8,1,7.2,8,1,1001.4,8,1
1998/3/28,3.3,8,1,0,8,1,0.8,8,1,,0,1,,0,1,,0,1,4.5,8,1,0,1,8,1,5.5,0,8,1,81,8,1,14.9,8,1,997.9,8,1
1998/3/29,3.6,8,1,2,8,1,6.8,8,1,,0,1,,0,1,,0,1,6.6,8,1,1.0,0,8,1,6.5,0,8,1,70,8,1,17.0,8,1,999.2,8,1
1998/3/30,2.0,8,1,1,8,1,8.6,8,1,,0,1,,0,1,,0,1,3.0,8,1,0,1,8,1,10.4,0,8,1,56,8,1,19.9,8,1,999.6,8,1
1998/3/31,-3.0,8,1,4,8,1,1.5,8,1,,0,1,,0,1,,0,1,-1.7,8,1,3.5,0,8,1,3.8,0,8,1,73,8,1,10.1,8,1,996.7,8,1
1998/4/1,-2.9,8,1,1,8,1,4.6,8,1,,0,1,,0,1,,0,1,-0.8,8,1,3.5,0,8,1,6.5,0,8,1,68,8,1,19.2,8,1,1004.3,8,1
1998/4/2,-1.0,8,1,0,8,1,9.0,8,1,,0,1,,0,1,,0,1,-0.6,8,1,0,1,8,1,9.0,0,8,1,65,8,1,19.9,8,1,1000.4,8,1
1998/4/3,3.1,8,1,1,8,1,9.3,8,1,,0,1,,0,1,,0,1,2.6,8,1,0,1,8,1,10.5,0,8,1,54,8,1,21.6,8,1,1002.7,8,1
1998/4/4,6.7,8,1,0,8,1,8.3,8,1,,0,1,,0,1,,0,1,6.7,8,1,0.0,0,8,1,10.5,0,8,1,51,8,1,21.6,8,1,1006.1,8,1
1998/4/5,3.4,8,1,0,8,1,2.7,8,1,,0,1,,0,1,,0,1,4.4,8,1,0.0,0,8,1,0,1,8,1,88,8,1,3.2,8,1,1007.9,8,1
1998/4/6,4.3,8,1,0,8,1,11.3,8,1,,0,1,,0,1,,0,1,6.0,8,1,0,1,8,1,9.4,0,8,1,71,8,1,20.1,8,1,1006.5,8,1
1998/4/7,9.4,8,1,0,8,1,11.0,8,1,,0,1,,0,1,,0,1,8.9,8,1,0,1,8,1,11.4,0,8,1,58,8,1,21.5,8,1,998.3,8,1
1999/3/15,-2.4,8,1,1,8,1,4.2,8,1,,0,1,,0,1,,0,1,1.2,8,1,0.5,0,8,1,1.2,0,8,1,75,8,1,12.3,8,1,1003.7,8,1
1999/3/16,-1.6,8,1,0,8,1,8.2,8,1,,0,1,,0,1,,0,1,-0.3,8,1,0,1,8,1,6.6,0,8,1,72,8,1,16.2,8,1,996.7,8,1
1999/3/17,-3.0,8,1,1,8,1,8.4,8,1,,0,1,,0,1,,0,1,-0.6,8,1,0.5,0,8,1,5.4,0,8,1,75,8,1,14.9,8,1,1005.0,8,1
1999/3/18,2.5,8,1,12,8,1,0.1,8,1,,0,1,,0,1,,0,1,2.8,8,1,3.5,0,8,1,0.6,0,8,1,89,8,1,7.4,8,1,999.9,8,1
1999/3/19,-2.8,8,1,1,8,1,4.1,8,1,,0,1,,0,1,,0,1,-0.6,8,1,3.5,0,8,1,2.7,0,8,1,74,8,1,12.1,8,1,1000.8,8,1
1999/3/20,-8.5,8,1,0,8,1,9.2,8,1,,0,1,,0,1,,0,1,-6.0,8,1,0,1,8,1,5.7,0,8,1,61,8,1,16.0,8,1,1003.2,8,1
1999/3/21,-7.2,8,1,0,8,1,8.3,8,1,,0,1,,0,1,,0,1,-7.5,8,1,0.0,0,8,1,7.0,0,8,1,58,8,1,16.8,8,1,1004.7,8,1
1999/3/22,-5.8,8,1,3,8,1,0.0,8,1,,0,1,,0,1,,0,1,-4.8,8,1,0.5,0,8,1,0,1,8,1,71,8,1,6.5,8,1,989.4,8,1
1999/3/23,-7.4,8,1,2,8,1,4.7,8,1,,0,1,,0,1,,0,1,-4.8,8,1,0.5,0,8,1,6.1,0,8,1,68,8,1,17.3,8,1,1004.4,8,1
1999/3/24,-1.2,8,1,2,8,1,0.6,8,1,,0,1,,0,1,,0,1,0.2,8,1,0.0,0,8,1,7.1,0,8,1,71,8,1,16.5,8,1,1006.4,8,1
1999/3/25,6.1,8,1,0,8,1,4.6,8,1,,0,1,,0,1,,0,1,4.2,8,1,0,1,8,1,8.3,0,8,1,67,8,1,17.8,8,1,1002.5,8,1
1999/3/26,4.3,8,1,0,8,1,3.1,8,1,,0,1,,0,1,,0,1,5.6,8,1,0,1,8,1,5.8,0,8,1,73,8,1,16.0,8,1,994.6,8,1
1999/3/27,-1.7,8,1,0,8,1,7.1,8,1,,0,1,,0,1,,0,1,1.0,8,1,0.0,0,8,1,6.9,0,8,1,66,8,1,16.8,8,1,995.7,8,1
1999/3/28,-5.9,8,1,5,8,1,0.2,8,1,,0,1,,0,1,,0,1,-4.3,8,1,3.5,0,8,1,4.8,0,8,1,77,8,1,16.3,8,1,998.1,8,1
1999/3/29,-9.1,8,1,2,8,1,4.8,8,1,,0,1,,0,1,,0,1,-5.7,8,1,4.5,0,8,1,3.7,0,8,1,81,8,1,14.7,8,1,1004.0,8,1
1999/3/30,-4.7,8,1,5,8,1,1.4,8,1,,0,1,,0,1,,0,1,-4.7,8,1,2.0,0,8,1,2.5,0,8,1,77,8,1,14.6,8,1,1009.7,8,1
1999/3/31,1.6,8,1,2,8,1,0.0,8,1,,0,1,,0,1,,0,1,0.5,8,1,0.5,0,8,1,0,1,8,1,75,8,1,8.5,8,1,1007.7,8,1
1999/4/1,2.4,8,1,10,8,1,0.0,8,1,,0,1,,0,1,,0,1,3.0,8,1,5.5,0,8,1,0,1,8,1,88,8,1,4.0,8,1,1001.0,8,1
1999/4/2,-1.4,8,1,3,8,1,6.3,8,1,,0,1,,0,1,,0,1,0.1,8,1,7.5,0,8,1,0,1,8,1,84,8,1,4.3,8,1,994.1,8,1
1999/4/3,-5.1,8,1,2,8,1,4.0,8,1,,0,1,,0,1,,0,1,-3.9,8,1,2.5,0,8,1,4.8,0,8,1,76,8,1,17.6,8,1,999.5,8,1
1999/4/4,-2.9,8,1,3,8,1,4.7,8,1,,0,1,,0,1,,0,1,-1.2,8,1,2.0,0,8,1,6.7,0,8,1,72,8,1,20.1,8,1,1003.1,8,1
1999/4/5,-1.8,8,1,6,8,1,1.1,8,1,,0,1,,0,1,,0,1,0.5,8,1,3.0,0,8,1,1.7,0,8,1,84,8,1,7.3,8,1,996.9,8,1
1999/4/6,-4.2,8,1,0,8,1,9.1,8,1,,0,1,,0,1,,0,1,-1.3,8,1,0.0,0,8,1,5.9,0,8,1,69,8,1,18.0,8,1,1003.9,8,1
1999/4/7,-3.0,8,1,0,8,1,3.9,8,1,,0,1,,0,1,,0,1,-3.0,8,1,0.5,0,8,1,0,1,8,1,78,8,1,9.4,8,1,1000.5,8,1
2000/3/15,-3.6,8,1,3,8,1,3.7,8,1,,0,1,,0,1,,0,1,-3.7,8,1,1.0,0,8,1,3.6,0,8,1,85,8,1,13.2,8,1,1000.3,8,1
2000/3/16,-5.0,8,1,0,8,1,10.2,8,1,,0,1,,0,1,,0,1,-4.6,8,1,0,1,8,1,5.8,0,4,1,74,8,1,15.0,8,1,995.5,8,1
2000/3/17,-4.6,8,1,0,8,1,10.1,8,1,,0,1,,0,1,,0,1,-4.2,8,1,0,1,8,1,7.2,0,8,1,63,8,1,17.7,8,1,992.8,8,1
2000/3/18,-4.8,8,1,0,8,1,7.5,8,1,,0,1,,0,1,,0,1,-3.8,8,1,7.5,0,8,1,4.3,0,8,1,82,8,1,13.8,8,1,998.1,8,1
2000/3/19,-2.7,8,1,1,8,1,7.0,8,1,,0,1,,0,1,,0,1,-1.2,8,1,1.0,0,8,1,4.1,0,8,1,83,8,1,14.1,8,1,996.9,8,1
2000/3/20,-4.2,8,1,0,8,1,11.0,8,1,,0,1,,0,1,,0,1,-2.4,8,1,0.0,0,8,1,9.2,0,8,1,66,8,1,18.6,8,1,999.2,8,1
2000/3/21,-7.4,8,1,0,8,1,9.2,8,1,,0,1,,0,1,,0,1,-5.8,8,1,0.0,0,8,1,7.8,0,8,1,75,8,1,17.8,8,1,1003.1,8,1
2000/3/22,-7.9,8,1,0,8,1,11.5,8,1,,0,1,,0,1,,0,1,-6.1,8,1,0,1,8,1,10.7,0,8,1,65,8,1,21.1,8,1,1006.5,8,1
2000/3/23,-5.1,8,1,0,8,1,0.6,8,1,,0,1,,0,1,,0,1,-4.9,8,1,0.0,0,8,1,0.5,0,8,1,68,8,1,12.1,8,1,1004.6,8,1
2000/3/24,-0.7,8,1,7,8,1,0.0,8,1,,0,1,,0,1,,0,1,0.0,8,1,4.5,0,8,1,0,1,8,1,91,8,1,4.6,8,1,978.4,8,1
2000/3/25,-3.0,8,1,3,8,1,0.0,8,1,,0,1,,0,1,,0,1,-2.3,8,1,13.0,0,8,1,0,1,8,1,90,8,1,8.1,8,1,975.8,8,1
2000/3/26,-4.2,8,1,4,8,1,0.2,8,1,,0,1,,0,1,,0,1,-3.3,8,1,6.5,0,8,1,1.8,0,8,1,86,8,1,13.8,8,1,983.1,8,1
2000/3/27,-3.5,8,1,0,8,1,3.5,8,1,,0,1,,0,1,,0,1,-2.9,8,1,2.5,0,8,1,2.8,0,8,1,82,8,1,14.6,8,1,997.0,8,1
2000/3/28,-2.5,8,1,1,8,1,8.1,8,1,,0,1,,0,1,,0,1,-1.8,8,1,0.5,0,8,1,7.0,0,8,1,70,8,1,17.8,8,1,1005.3,8,1
2000/3/29,0.8,8,1,17,8,1,0.0,8,1,,0,1,,0,1,,0,1,2.2,8,1,5.5,0,8,1,0.2,0,8,1,88,8,1,6.1,8,1,984.5,8,1
2000/3/30,-1.0,8,1,3,8,1,1.9,8,1,,0,1,,0,1,,0,1,1.8,8,1,1.0,0,8,1,2.8,0,8,1,77,8,1,13.9,8,1,979.9,8,1
2000/3/31,0.4,8,1,0,8,1,9.4,8,1,,0,1,,0,1,,0,1,4.8,8,1,3.0,0,8,1,10.2,0,8,1,58,8,1,22.9,8,1,986.8,8,1
2000/4/1,-0.3,8,1,0,8,1,8.0,8,1,,0,1,,0,1,,0,1,0.5,8,1,10.0,0,8,1,3.9,0,8,1,78,8,1,16.7,8,1,986.9,8,1
2000/4/2,-1.0,8,1,0,8,1,5.3,8,1,,0,1,,0,1,,0,1,0.1,8,1,4.0,0,8,1,3.7,0,8,1,78,8,1,15.6,8,1,999.6,8,1
2000/4/3,2.3,8,1,0,8,1,7.4,8,1,,0,1,,0,1,,0,1,1.6,8,1,0,1,8,1,12.0,0,8,1,55,8,1,23.2,8,1,1004.3,8,1
2000/4/4,4.4,8,1,1,8,1,5.3,8,1,,0,1,,0,1,,0,1,4.4,8,1,0,1,8,1,12.0,0,8,1,49,8,1,22.8,8,1,1005.2,8,1
2000/4/5,5.8,8,1,0,8,1,2.7,8,1,,0,1,,0,1,,0,1,5.5,8,1,5.0,0,8,1,1.1,0,8,1,68,8,1,11.9,8,1,994.5,8,1
2000/4/6,2.2,8,1,5,8,1,2.6,8,1,,0,1,,0,1,,0,1,2.2,8,1,6.5,0,8,1,1.3,0,8,1,82,8,1,10.1,8,1,989.6,8,1
2000/4/7,6.3,8,1,0,8,1,9.3,8,1,,0,1,,0,1,,0,1,6.1,8,1,0.0,0,8,1,11.6,0,8,1,52,8,1,22.8,8,1,998.1,8,1
2001/3/15,-4.6,8,1,8,8,1,4.7,8,1,,0,1,,0,1,,0,1,-1.9,8,1,5.0,0,8,1,1.1,0,8,1,77,8,1,9.5,8,1,990.9,8,1
2001/3/16,-3.4,8,1,1,8,1,3.0,8,1,,0,1,,0,1,,0,1,-3.9,8,1,1.5,0,8,1,1.6,0,8,1,74,8,1,11.0,8,1,997.0,8,1
2001/3/17,1.4,8,1,4,8,1,9.7,8,1,,0,1,,0,1,,0,1,1.3,8,1,0.5,0,8,1,4.7,0,8,1,63,8,1,14.2,8,1,998.3,8,1
2001/3/18,1.6,8,1,0,8,1,4.3,8,1,,0,1,,0,1,,0,1,2.0,8,1,1.5,0,8,1,5.9,0,8,1,73,8,1,17.1,8,1,984.2,8,1
2001/3/19,1.3,8,1,1,8,1,5.4,8,1,,0,1,,0,1,,0,1,1.4,8,1,3.0,0,8,1,4.1,0,8,1,71,8,1,12.2,8,1,983.7,8,1
2001/3/20,3.8,8,1,3,8,1,1.0,8,1,,0,1,,0,1,,0,1,5.6,8,1,0.5,0,8,1,5.6,0,8,1,69,8,1,14.0,8,1,980.8,8,1
2001/3/21,-0.6,8,1,4,8,1,0.8,8,1,,0,1,,0,1,,0,1,-0.8,8,1,2.0,0,8,1,2.9,0,8,1,72,8,1,11.3,8,1,986.6,8,1
2001/3/22,3.7,8,1,0,8,1,6.1,8,1,,0,1,,0,1,,0,1,2.3,8,1,0.0,0,8,1,4.1,0,8,1,53,8,1,12.7,8,1,990.7,8,1
2001/3/23,0.2,8,1,3,8,1,1.7,8,1,,0,1,,0,1,,0,1,0.7,8,1,6.5,0,8,1,3.8,0,8,1,77,8,1,12.4,8,1,993.3,8,1
2001/3/24,0.4,8,1,1,8,1,1.5,8,1,,0,1,,0,1,,0,1,0.2,8,1,0.5,0,8,1,1.1,0,8,1,69,8,1,9.5,8,1,1000.4,8,1
2001/3/25,1.5,8,1,0,8,1,5.0,8,1,,0,1,,0,1,,0,1,2.1,8,1,0.0,0,8,1,1.1,0,8,1,79,8,1,10.9,8,1,996.6,8,1
2001/3/26,1.9,8,1,9,8,1,0.0,8,1,,0,1,,0,1,,0,1,2.5,8,1,5.0,0,8,1,0,1,8,1,80,8,1,3.7,8,1,985.3,8,1
2001/3/27,-0.1,8,1,2,8,1,3.8,8,1,,0,1,,0,1,,0,1,-0.2,8,1,2.0,0,8,1,4.6,0,8,1,71,8,1,13.5,8,1,990.0,8,1
2001/3/28,0.1,8,1,4,8,1,0.1,8,1,,0,1,,0,1,,0,1,0.6,8,1,3.0,0,8,1,3.1,0,8,1,78,8,1,13.9,8,1,993.4,8,1
2001/3/29,-0.4,8,1,2,8,1,0.8,8,1,,0,1,,0,1,,0,1,0.6,8,1,0.5,0,8,1,8.4,0,8,1,70,8,1,20.8,8,1,993.0,8,1
2001/3/30,-1.2,8,1,2,8,1,0.7,8,1,,0,1,,0,1,,0,1,-0.2,8,1,0.0,0,8,1,3.6,0,8,1,67,8,1,14.7,8,1,989.6,8,1
2001/3/31,-0.9,8,1,1,8,1,0.1,8,1,,0,1,,0,1,,0,1,0.0,8,1,0.0,0,8,1,0.7,0,8,1,67,8,1,8.7,8,1,995.5,8,1
2001/4/1,-1.1,8,1,0,8,1,2.4,8,1,,0,1,,0,1,,0,1,0.1,8,1,0.0,0,8,1,3.4,0,8,1,65,8,1,15.1,8,1,997.8,8,1
2001/4/2,2.6,8,1,5,8,1,6.3,8,1,,0,1,,0,1,,0,1,3.0,8,1,0.5,0,8,1,5.9,0,8,1,69,8,1,14.6,8,1,995.8,8,1
2001/4/3,1.1,8,1,6,8,1,2.1,8,1,,0,1,,0,1,,0,1,2.9,8,1,4.0,0,8,1,3.8,0,8,1,76,8,1,10.4,8,1,989.4,8,1
2001/4/4,-0.2,8,1,1,8,1,0.2,8,1,,0,1,,0,1,,0,1,0.6,8,1,0.5,0,8,1,1.5,0,8,1,72,8,1,14.1,8,1,999.2,8,1
2001/4/5,3.0,8,1,7,8,1,0.0,8,1,,0,1,,0,1,,0,1,2.2,8,1,1.0,0,8,1,0.8,0,8,1,74,8,1,4.8,8,1,996.8,8,1
2001/4/6,1.9,8,1,0,8,1,9.2,8,1,,0,1,,0,1,,0,1,3.1,8,1,0,1,8,1,6.8,0,8,1,52,8,1,18.3,8,1,1005.0,8,1
2001/4/7,0.5,8,1,0,8,1,12.0,8,1,,0,1,,0,1,,0,1,2.6,8,1,0,1,8,1,11.3,0,8,1,54,8,1,22.9,8,1,1009.8,8,1
2002/3/15,2.4,8,1,0,8,1,9.3,8,1,,0,1,,0,1,,0,1,3.0,8,1,0.5,0,8,1,0,1,8,1,75,8,1,5.7,8,1,984.8,8,1
2002/3/16,-1.1,8,1,2,8,1,2.0,8,1,,0,1,,0,1,,0,1,-0.3,8,1,1.0,0,8,1,4.5,0,8,1,71,8,1,12.4,8,1,993.1,8,1
2002/3/17,1.1,8,1,0,8,1,7.1,8,1,,0,1,,0,1,,0,1,0.4,8,1,0.5,0,8,1,1.6,0,8,1,82,8,1,7.5,8,1,992.4,8,1
2002/3/18,-4.4,8,1,1,8,1,7.0,8,1,,0,1,,0,1,,0,1,-0.9,8,1,0.0,0,8,1,9.4,0,8,1,69,8,1,17.8,8,1,998.2,8,1
2002/3/19,-1.9,8,1,0,8,1,5.3,8,1,,0,1,,0,1,,0,1,0.0,8,1,0,1,8,1,7.1,0,8,1,63,8,1,15.5,8,1,996.1,8,1
2002/3/20,-0.6,8,1,0,8,1,5.7,8,1,,0,1,,0,1,,0,1,1.7,8,1,0.0,0,8,1,8.7,0,8,1,65,8,1,17.6,8,1,994.9,8,1
2002/3/21,2.7,8,1,3,8,1,0.0,8,1,,0,1,,0,1,,0,1,4.4,8,1,3.5,0,8,1,0.2,0,8,1,66,8,1,7.9,8,1,985.9,8,1
2002/3/22,3.3,8,1,1,8,1,2.1,8,1,,0,1,,0,1,,0,1,2.7,8,1,0.5,0,8,1,0.7,0,8,1,57,8,1,8.7,8,1,984.3,8,1
2002/3/23,-0.4,8,1,1,8,1,0.3,8,1,,0,1,,0,1,,0,1,2.4,8,1,0.0,0,8,1,2.2,0,8,1,66,8,1,12.6,8,1,985.9,8,1
2002/3/24,-4.3,8,1,1,8,1,3.4,8,1,,0,1,,0,1,,0,1,-0.1,8,1,0.0,0,8,1,5.7,0,8,1,68,8,1,15.2,8,1,993.3,8,1
2002/3/25,-0.4,8,1,1,8,1,3.5,8,1,,0,1,,0,1,,0,1,-0.3,8,1,0.5,0,8,1,6.2,0,8,1,67,8,1,15.0,8,1,1004.1,8,1
2002/3/26,6.7,8,1,0,8,1,8.2,8,1,,0,1,,0,1,,0,1,6.0,8,1,0,1,8,1,2.5,0,8,1,49,8,1,11.0,8,1,999.8,8,1
2002/3/27,1.7,8,1,9,8,1,2.2,8,1,,0,1,,0,1,,0,1,3.5,8,1,1.5,0,8,1,1.3,0,8,1,68,8,1,6.6,8,1,991.6,8,1
2002/3/28,-0.1,8,1,1,8,1,4.9,8,1,,0,1,,0,1,,0,1,1.1,8,1,0.5,0,8,1,5.1,0,8,1,62,8,1,13.8,8,1,998.7,8,1
2002/3/29,2.3,8,1,21,8,1,0.0,8,1,,0,1,,0,1,,0,1,4.1,8,1,0.0,0,8,1,0,1,8,1,65,8,1,6.4,8,1,1001.4,8,1
2002/3/30,1.8,8,1,0,8,1,2.3,8,1,,0,1,,0,1,,0,1,2.7,8,1,3.5,0,8,1,0.1,0,8,1,86,8,1,6.3,8,1,994.1,8,1
2002/3/31,2.3,8,1,1,8,1,9.6,8,1,,0,1,,0,1,,0,1,4.0,8,1,0.5,0,8,1,9.8,0,8,1,69,8,1,21.2,8,1,996.3,8,1
2002/4/1,5.4,8,1,0,8,1,3.1,8,1,,0,1,,0,1,,0,1,5.8,8,1,0.5,0,8,1,9.4,0,8,1,63,8,1,18.1,8,1,995.0,8,1
2002/4/2,4.9,8,1,0,8,1,7.6,8,1,,0,1,,0,1,,0,1,6.7,8,1,0.5,0,8,1,7.4,0,8,1,75,8,1,17.9,8,1,995.7,8,1
2002/4/3,4.5,8,1,1,8,1,7.9,8,1,,0,1,,0,1,,0,1,5.5,8,1,0.5,0,8,1,1.6,0,8,1,71,8,1,11.9,8,1,995.9,8,1
